"country","country_name","type","level","2016","2017","2018"
"AL","Albania","Imports","Total",0,2914.628,1771.742
"AL","Albania","Exports","Total",42,0,2685.047
"AL","Albania","Energy absorbed by pumping","Total",0,0,0
"AL","Albania","Energy supplied","Total",7094,7412.435,7683.232
"RS","Serbia","Total net production","Total",36628,34298.552,35241.186
"RS","Serbia","Imports","Total",5068,6549.189,6400.007
"RS","Serbia","Exports","Total",6990,5724.139,6293.513
"RS","Serbia","Energy absorbed by pumping","Total",1029,938.05,1067.938
"RS","Serbia","Energy supplied","Total",33677,34185.552,34279.742
"TR","Turkey","Total net production","Total",261937,284257.519,289282.578
"TR","Turkey","Imports","Total",6330,2728.268,2466.008
"TR","Turkey","Exports","Total",1452,3303.673,3073.58
"TR","Turkey","Energy absorbed by pumping","Total",0,0,0
"TR","Turkey","Energy supplied","Total",266815,283682.114,288675.006
"BA","Bosnia & Herzegovina","Total net production","Total",16609,15239,7502.427
"BA","Bosnia & Herzegovina","Imports","Total",3084,3346,1487.586
"BA","Bosnia & Herzegovina","Exports","Total",6841,5187,3820.822
"BA","Bosnia & Herzegovina","Energy absorbed by pumping","Total",0,266,50.591
"BA","Bosnia & Herzegovina","Energy supplied","Total",12852,13132,5118.6
"UA","Ukraine","Total net production","Total",151889,144905.8,159072.5
"UA","Ukraine","Imports","Total",77,50,1587
"UA","Ukraine","Exports","Total",3830,5226,4639.3
"UA","Ukraine","Energy absorbed by pumping","Total",1633,1574.2,0
"UA","Ukraine","Energy supplied","Total",146503,138155.6,156020.2
"GE","Georgia","Total net production","Total",11365,11315.8,12148.514
"GE","Georgia","Imports","Total",1329,1751.2,1522.2
"GE","Georgia","Exports","Total",1409,939.7,602.038
"GE","Georgia","Energy absorbed by pumping","Total",0,0,214.946
"GE","Georgia","Energy supplied","Total",11285,12127.3,12853.73
