Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/19/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belarus,BLR,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.94940039,99.9535304,99.95478122,99.94306092,99.93948466,99.91973674,99.93256912,99.91940745,99.88081049,99.92834515,99.89655569,99.88030164,99.87526459,99.87982123,99.87824415,99.86757534,99.8679702,99.81777624,99.76318192,99.58519884,99.52142141,99.48136646,99.27595052,98.98117879,99.09601267,98.92905346,,,,,
Belize,BLZ,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,12.88461538,15.18093557,15.96925705,17.83189317,19.15367483,20.26462396,24.02515723,25.85705985,28.21075741,32.36565781,34.07325194,30.76470588,33.29538987,34.03547672,34.45945946,38.08487486,40.58759521,38.4180791,42.7480916,47.55517092,41.12478032,45.85406302,41.72010562,51.84135977,56.6743955,54.53983941,53.54262673,56.7115903,52.64107189,48.47938144,45.15075377,46.05640535,52.88550323,51.29338934,58.74183007,58.13207547,58.30136031,58.62128245,60.51298807,66.04692342,65.8033241,67.6935126,67.82393056,71.99314677,68.59756098,,,,,
Brazil,BRA,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,15.04711311,10.08468052,9.402712975,7.301357062,7.325014252,6.948563305,6.350730606,7.674156606,6.640951615,6.218969723,6.715803836,5.772278074,4.944182554,4.62790568,4.574508731,8.099817937,6.488435113,5.539505087,5.236476574,4.495536776,4.75899939,4.852894942,4.569879671,4.573509562,4.928501711,5.605641346,5.993207395,6.061886943,8.665555277,8.667851308,11.23321198,10.13941002,9.045970923,10.83331398,10.23042778,9.808817252,8.744751734,12.61329354,8.099399083,12.38557814,9.829677842,14.59835259,20.54610783,24.25323922,23.43291178,,,,,
Barbados,BRB,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.94630872,99.94910941,99.95456611,99.95561474,99.95238095,,,,,
Bhutan,BTN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.89165764,99.9567661,99.96629592,,,,,
Central African Republic,CAF,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,7.910939413,9.089726354,12.03154331,15.74668413,16.73236364,19.69185411,18.66916333,20.71282,24.0356116,22.64665548,24.02630876,24.84075859,23.27131928,22.27961241,20.51108407,22.3906453,22.60344712,23.12484085,21.96484761,21.82423213,22.1813233,21.12380269,22.99683231,22.35809038,22.04526212,20.27879226,18.08131865,20.24491786,22.34845939,24.97987867,22.47568153,21.87817748,22.82352353,20.61407548,20.06647795,21.0335622,20.16794402,22.59327057,26.2051566,25.47254057,26.77378979,28.95418631,27.54117886,28.37185476,26.47679061,25.12698945,24.41301416,24.82123285,23.31950129,22.04200805,23.08000583,22.54393216,21.42461097,20.76934062,20.76312543,21.06717953,,,,,
Central Europe and the Baltics,CEB,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,78.06181827,77.29028183,77.47384644,76.43054005,76.11686048,76.2178349,75.4818132,75.82693421,74.92253119,73.92423503,73.17874784,73.45425013,73.01879168,72.43539219,70.60618558,70.18970594,68.34148495,66.18984733,66.59078238,72.21831484,71.20754191,72.19875617,71.93861564,71.28271713,70.28851605,70.00712718,69.23669212,68.38401806,68.61974219,69.38114058,68.68042047,66.88313456,68.62832072,66.48198966,65.70680347,66.91705394,68.00459533,65.66299832,63.36704406,62.89115414,64.68092695,62.49812037,59.36274647,56.49410665,58.30016908,,,,,
Switzerland,CHE,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,0.869565217,0.85360257,1.153343295,1.193244132,1.452513966,2.081021088,2.461126194,3.121748179,4.524592298,5.758842116,6.038647343,9.348641801,11.19859469,7.072819621,6.104792194,4.05546895,6.101751275,4.395293092,4.437869822,3.989882327,1.766476388,1.132461319,1.241715548,1.281731967,1.164362829,1.017339791,1.061176845,1.037503189,0.975233754,1.138625835,1.374745418,1.800154701,2.121347236,1.337495892,1.429226536,1.74784732,2.101295977,1.851851852,2.393104777,1.744499294,1.639344262,1.536772777,1.703200183,1.788990826,1.794410084,1.87578951,1.585232393,1.378708289,1.275434095,1.220884016,1.659298734,1.621931052,1.423539771,1.185972061,0.80311546,1.069640074,,,,,
Channel Islands,CHI,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,42.80854059,35.22498321,35.59206023,31.05302786,26.25973431,28.08019834,27.89484452,29.13127413,32.26154123,32.12492554,31.04024044,23.75537023,22.20373891,24.60546788,19.76495726,17.86489419,16.26271024,23.82500739,39.0039863,46.1626388,29.02660187,17.30537048,18.3352081,25.73485778,27.59481928,39.54706667,37.86527315,51.82911375,61.96926283,51.45216827,45.73840258,44.54901422,49.84304598,53.09912514,46.11691182,44.74511931,55.84440001,54.25097146,51.01281249,59.61213886,60.40357311,63.55464438,64.10867036,57.18637342,56.39566504,,,,,
China,CHN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,78.42688873,77.87250659,77.47333851,74.78878277,77.30482146,77.90269432,78.96560257,82.61561009,82.230892,80.63732828,78.80492773,77.29492188,75.42681539,77.00522006,77.50858312,78.9713701,79.88818951,79.98019112,79.75581813,79.59206011,81.52886921,82.41531633,81.68342281,80.32189777,79.51263699,81.12049174,81.2182187,80.7311349,82.11289858,82.12597124,79.86169679,80.86235706,82.69464165,81.48633403,81.70185078,82.49361295,82.84347871,80.28994703,80.24837277,79.40102506,81.1740028,77.85989297,77.42446658,74.82288737,72.96207597,,,,,
Cote d'Ivoire,CIV,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,76.36054422,67.34104046,78.89447236,67.56440281,60.18711019,69.14798206,82.13998391,88.18953324,59.86805937,22.69868496,8.368644068,11.24807396,49.6128033,75.06684492,23.87892377,35.78721118,51.58766682,46.3003029,27.57837347,33.33333333,30.98514034,43.35135135,49.7714808,50.27530707,39.46386155,45.3038674,53.38625651,65.76330184,63.587295,63.25,63.15250768,67.34038534,63.98663259,66.33393829,72.76887872,71.31741821,66.04510744,65.24137931,62.4765798,71.71835708,69.86391212,73.5604333,78.11764706,76.06806662,83.27402135,,,,,
Cameroon,CMR,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,2.697674419,3.766816143,4.472271914,4.570970329,4.779411765,5.279034691,5.769230769,5.833956619,5.695746215,6.056434962,5.185961236,5.121042831,3.465804067,1.714801444,2.171241295,1.89669088,2.272727273,1.944338544,1.588474326,1.520207638,1.439114391,1.278772379,1.059322034,1.176470588,1.149012567,1.13753878,1.150895141,1.641414141,1.244075829,1.091954023,1.89212087,3.575757576,4.234527687,4.622871046,5.794205794,11.18292205,25.17642571,24.1506777,29.32733875,26.78420071,24.70866408,24.63492063,24.66424682,24.67490247,23.88280556,,,,,
"Congo, Dem. Rep.",COD,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,3.046544429,3.292065279,2.079002079,2.330935252,2.473684211,1.956947162,1.811594203,1.960784314,3.96806194,4.544431946,4.094778008,3.578110384,3.009961022,2.895553257,2.784761168,2.719200888,2.763865702,2.670623145,0.317139974,0.442477876,0.416587767,0.312860201,0.306582507,0.338855422,0.291403594,0.294647242,0.376759865,0.401861252,0.45231813,0.050150451,0.083864475,0.131147541,0.113876688,0.113234253,0.094928126,0.609836935,1.103780766,1.284938402,1.094983448,1.087919039,1.114065072,0.118234367,0.108985226,0.124434389,0.178930888,,,,,
"Congo, Rep.",COG,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,38.63636364,35.29411765,47.91666667,44.44444444,44.76190476,44.73684211,53.84615385,83.33333333,40.76923077,35.48387097,34.81012658,10.76923077,0.854700855,0.790513834,1.020408163,0.740740741,1.067615658,1.02739726,0.75,0.60851927,0,0.934579439,0.828729282,0.617283951,0.564971751,0.436681223,0.441501104,0.581395349,14.41441441,0.337837838,0,0,14.28571429,16.87657431,18.01385681,17.8807947,17.69041769,18.65509761,38.7755102,45.28061224,38.82443929,41.94117647,43.18314804,45.28735632,46.65513264,,,,,
Colombia,COL,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,34.93799434,30.67350622,31.7192741,31.57284256,29.70381254,31.42419378,30.22874746,29.29793238,29.09234412,29.02279174,30.19685229,30.8042557,32.3466492,31.580612,30.62958959,26.99286442,25.7040353,25.32715376,22.98255648,23.61580989,24.31738308,31.33499271,26.74602557,21.50740177,23.5953741,17.00797934,28.35556552,30.25369178,20.13918079,24.47536232,25.66180194,23.49584832,21.211405,18.34912207,19.83034348,19.39923742,18.46660872,15.98913082,27.12208438,27.87930802,16.53471027,20.4498059,26.00132454,25.96168932,31.76318878,,,,,
Comoros,COM,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
