"country_name","year","country","type","GWh","Country Code","Indicator Name","Indicator Code","total population","per_capita_kwh"
"Bulgaria","2018","BG","% Renewable",52.3493863,"BGR","Population, total","SP.POP.TOTL",7025037,7.45183068786684
"Bulgaria","2018","BG","Geothermal",0,"BGR","Population, total","SP.POP.TOTL",7025037,0
"Croatia","2016","HR","Conventional thermal",4241,"HRV","Population, total","SP.POP.TOTL",4174349,1015.96680105089
"Croatia","2016","HR","Wind",1010,"HRV","Population, total","SP.POP.TOTL",4174349,241.953895086396
"Croatia","2016","HR","Nuclear",0,"HRV","Population, total","SP.POP.TOTL",4174349,0
"Croatia","2016","HR","Geothermal",0,"HRV","Population, total","SP.POP.TOTL",4174349,0
"Croatia","2016","HR","% Renewable",64.40067259,"HRV","Population, total","SP.POP.TOTL",4174349,15.4277164151823
"Croatia","2016","HR","Hydro",6967,"HRV","Population, total","SP.POP.TOTL",4174349,1669.0027594722
"Croatia","2016","HR","Other",0,"HRV","Population, total","SP.POP.TOTL",4174349,0
"Croatia","2016","HR","Solar",66,"HRV","Population, total","SP.POP.TOTL",4174349,15.8108485898041
"Croatia","2016","HR","Total Renewable",8043,"HRV","Population, total","SP.POP.TOTL",4174349,1926.7675031484
"Croatia","2017","HR","Conventional thermal",4808,"HRV","Population, total","SP.POP.TOTL",4124531,1165.70829507646
"Croatia","2017","HR","Total Renewable",6714.9,"HRV","Population, total","SP.POP.TOTL",4124531,1628.03964862914
"Croatia","2017","HR","Other",0,"HRV","Population, total","SP.POP.TOTL",4124531,0
"Croatia","2017","HR","Geothermal",0,"HRV","Population, total","SP.POP.TOTL",4124531,0
"Croatia","2017","HR","% Renewable",57.27872936,"HRV","Population, total","SP.POP.TOTL",4124531,13.8873315196322
"Croatia","2017","HR","Wind",1198.4,"HRV","Population, total","SP.POP.TOTL",4124531,290.554247258658
"Croatia","2017","HR","Hydro",5437.8,"HRV","Population, total","SP.POP.TOTL",4124531,1318.40444404467
"Croatia","2017","HR","Nuclear",0,"HRV","Population, total","SP.POP.TOTL",4124531,0
"Croatia","2017","HR","Solar",78.7,"HRV","Population, total","SP.POP.TOTL",4124531,19.0809573258147
"Croatia","2018","HR","% Renewable",65.75533824,"HRV","Population, total","SP.POP.TOTL",4087843,16.0855830911314
"Croatia","2018","HR","Conventional thermal",4155.654,"HRV","Population, total","SP.POP.TOTL",4087843,1016.58845508499
"Croatia","2018","HR","Hydro",7681.337,"HRV","Population, total","SP.POP.TOTL",4087843,1879.06849651515
"Croatia","2018","HR","Nuclear",0,"HRV","Population, total","SP.POP.TOTL",4087843,0
"Croatia","2018","HR","Geothermal",0,"HRV","Population, total","SP.POP.TOTL",4087843,0
"Croatia","2018","HR","Wind",1350.356,"HRV","Population, total","SP.POP.TOTL",4087843,330.334604337789
"Croatia","2018","HR","Total Renewable",9100.886,"HRV","Population, total","SP.POP.TOTL",4087843,2226.32963154407
"Croatia","2018","HR","Other",0,"HRV","Population, total","SP.POP.TOTL",4087843,0
"Croatia","2018","HR","Solar",69.193,"HRV","Population, total","SP.POP.TOTL",4087843,16.9265306911249
"Cyprus","2016","CY","Conventional thermal",4295,"CYP","Population, total","SP.POP.TOTL",1170187,3670.35354178435
"Cyprus","2016","CY","Solar",145.937,"CYP","Population, total","SP.POP.TOTL",1170187,124.712545943512
"Cyprus","2016","CY","Geothermal",0,"CYP","Population, total","SP.POP.TOTL",1170187,0
"Cyprus","2016","CY","Total Renewable",372.638,"CYP","Population, total","SP.POP.TOTL",1170187,318.443120629438
"Cyprus","2016","CY","Other",0,"CYP","Population, total","SP.POP.TOTL",1170187,0
"Cyprus","2016","CY","Nuclear",0,"CYP","Population, total","SP.POP.TOTL",1170187,0
"Cyprus","2016","CY","% Renewable",7.983438304,"CYP","Population, total","SP.POP.TOTL",1170187,6.82236113031507
"Cyprus","2016","CY","Wind",226.701,"CYP","Population, total","SP.POP.TOTL",1170187,193.730574685926
"Cyprus","2016","CY","Hydro",0,"CYP","Population, total","SP.POP.TOTL",1170187,0
"Cyprus","2017","CY","Other",0,"CYP","Population, total","SP.POP.TOTL",1179680,0
"Cyprus","2017","CY","Nuclear",0,"CYP","Population, total","SP.POP.TOTL",1179680,0
"Cyprus","2017","CY","% Renewable",8.02508434,"CYP","Population, total","SP.POP.TOTL",1179680,6.80276374949139
"Cyprus","2017","CY","Total Renewable",383.461,"CYP","Population, total","SP.POP.TOTL",1179680,325.055099688051
"Cyprus","2017","CY","Solar",172.013,"CYP","Population, total","SP.POP.TOTL",1179680,145.813271395633
"Cyprus","2017","CY","Geothermal",0,"CYP","Population, total","SP.POP.TOTL",1179680,0
"Cyprus","2017","CY","Wind",211.448,"CYP","Population, total","SP.POP.TOTL",1179680,179.241828292418
"Cyprus","2017","CY","Hydro",0,"CYP","Population, total","SP.POP.TOTL",1179680,0
"Cyprus","2017","CY","Conventional thermal",4394.819,"CYP","Population, total","SP.POP.TOTL",1179680,3725.43316831683
"Cyprus","2018","CY","Other",0,"CYP","Population, total","SP.POP.TOTL",1189265,0
"Cyprus","2018","CY","Solar",190.329,"CYP","Population, total","SP.POP.TOTL",1189265,160.039183865665
"Cyprus","2018","CY","Geothermal",0,"CYP","Population, total","SP.POP.TOTL",1189265,0
"Cyprus","2018","CY","Total Renewable",410.942,"CYP","Population, total","SP.POP.TOTL",1189265,345.542835280614
"Cyprus","2018","CY","Hydro",0,"CYP","Population, total","SP.POP.TOTL",1189265,0
"Cyprus","2018","CY","Nuclear",0,"CYP","Population, total","SP.POP.TOTL",1189265,0
"Cyprus","2018","CY","% Renewable",8.57722207,"CYP","Population, total","SP.POP.TOTL",1189265,7.21220423538908
"Cyprus","2018","CY","Wind",220.613,"CYP","Population, total","SP.POP.TOTL",1189265,185.50365141495
