"year","type","GWh","country","country_name"
"1985","Total Renewable",274315.244797716,"US","United States"
"1985","Wind",2.72781536246154,"US","United States"
"1986","Coal",879640.017656546,"US","United States"
"1986","Conventional thermal",2549222.65304153,"US","United States"
"1986","Crude Oil",828528.19726046,"US","United States"
"1986","Geothermal",4854.90265910892,"US","United States"
"1986","Hydro",138472.880282137,"US","United States"
"1986","Natural Gas",420527.207790299,"US","United States"
"1986","Nuclear",197489.729247207,"US","United States"
"1986","Other",132201.835659195,"US","United States"
"1986","Solar",6.60537108430769,"US","United States"
"1986","Total",3022250.61266991,"US","United States"
"1986","Total Renewable",275538.162749386,"US","United States"
"1986","Wind",1.96132178953846,"US","United States"
"1987","Coal",908119.221622075,"US","United States"
"1987","Conventional thermal",2575898.22999819,"US","United States"
"1987","Crude Oil",796918.250296327,"US","United States"
"1987","Geothermal",5061.96864344123,"US","United States"
"1987","Hydro",118784.343121248,"US","United States"
"1987","Natural Gas",435430.379039893,"US","United States"
"1987","Nuclear",214344.629844714,"US","United States"
"1987","Other",129622.40443488,"US","United States"
"1987","Solar",4.91457643815385,"US","United States"
"1987","Total",3043718.20395748,"US","United States"
"1987","Total Renewable",253475.231394939,"US","United States"
"1987","Wind",1.66825071753846,"US","United States"
"1988","Coal",935015.706535232,"US","United States"
"1988","Conventional thermal",2608145.71926356,"US","United States"
"1988","Crude Oil",779069.951484384,"US","United States"
"1988","Geothermal",4794.55256220554,"US","United States"
"1988","Hydro",105247.02960271,"US","United States"
"1988","Natural Gas",447030.008078046,"US","United States"
"1988","Nuclear",251904.392992948,"US","United States"
"1988","Other",135987.209256933,"US","United States"
"1988","Solar",4.26080250830769,"US","United States"
"1988","Total",3106083.5026398,"US","United States"
"1988","Total Renewable",246033.345295429,"US","United States"
"1988","Wind",0.383246786461538,"US","United States"
"1989","Coal",963084.633543889,"US","United States"
"1989","Conventional thermal",2590193.85364356,"US","United States"
"1989","Crude Oil",726675.719709012,"US","United States"
"1989","Geothermal",7283.49245705846,"US","United States"
"1989","Hydro",127926.154158001,"US","United States"
"1989","Natural Gas",450216.738923366,"US","United States"
"1989","Nuclear",252589.412807855,"US","United States"
"1989","Other",142448.637357031,"US","United States"
"1989","Solar",2455.77777585969,"US","United States"
"1989","Total",3123890.65878202,"US","United States"
"1989","Total Renewable",281107.347242745,"US","United States"
"1989","Wind",993.420758365538,"US","United States"
"1990","Coal",1013915.376238,"US","United States"
"1990","Conventional thermal",2638685.07760168,"US","United States"
"1990","Crude Oil",702071.433825681,"US","United States"
"1990","Geothermal",7698.59381465354,"US","United States"
"1990","Hydro",137355.197389243,"US","United States"
"1990","Natural Gas",461349.178856858,"US","United States"
"1990","Nuclear",275232.038742718,"US","United States"
"1990","Other",123320.339366164,"US","United States"
"1990","Solar",2649.70064980923,"US","United States"
"1990","Total",3186248.90121468,"US","United States"
"1990","Total Renewable",272331.73978242,"US","United States"
"1990","Wind",1307.86347469292,"US","United States"
"1991","Coal",975540.018840317,"US","United States"
"1991","Conventional thermal",2607482.58960334,"US","United States"
"1991","Crude Oil",707916.623637078,"US","United States"
"1991","Geothermal",8008.77572847261,"US","United States"
"1991","Hydro",135982.429944066,"US","United States"
"1991","Natural Gas",462012.973562973,"US","United States"
"1991","Nuclear",289560.215821012,"US","United States"
"1991","Other",125425.288524911,"US","United States"
"1991","Solar",2778.44902613169,"US","United States"
"1991","Total",3170626.20666743,"US","United States"
"1991","Total Renewable",273583.446330932,"US","United States"
"1991","Wind",1388.50310735015,"US","United States"
"1992","Coal",978141.948905391,"US","United States"
"1992","Conventional thermal",2597722.48878038,"US","United States"
"1992","Crude Oil",686366.296131488,"US","United States"
"1992","Geothermal",8057.13245535261,"US","United States"
"1992","Hydro",118014.558134747,"US","United States"
